id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
17548,boardgame,Zombie Rancher,2003,2,4,45,45,45,10,9,5.04111,0,22,0,2,7,7,5,1.6
27820,boardgame,Army Brats,2004,2,4,20,20,20,10,2,4.5,0,3,0,0,1,3,2,2
12001,boardgame,Lunker Lake,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,1,1
164424,boardgame,Zombie: Shambling and Hungry,2014,2,4,30,30,30,10,1,1,0,3,0,0,0,0,0,0
31788,boardgame,Muffin,1949,2,8,20,20,20,0,4,5.25,0,5,0,0,0,1,0,0
2732,boardgame,Pole Position,1983,2,4,30,30,30,7,17,5.26471,0,56,3,7,11,7,2,1.5
97997,boardgame,Willo the Wisp,1983,2,6,20,20,20,5,1,2,0,1,0,0,1,0,0,0
100945,boardgame,Dance Charades,2011,3,15,20,20,20,6,4,4.75,0,10,0,0,2,1,0,0
118000,boardgame,Africana,2012,2,4,60,60,60,8,1001,6.80349,6.19052,1376,59,94,296,297,108,2.0185
5881,boardgame,Tet Offensive,1991,2,4,120,120,120,0,48,6.22604,5.52649,185,17,6,5,34,9,3.2222
23875,boardgame,The New York Game,1977,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192982,boardgame,Walt Disney's Kavalkad,0,2,4,40,20,40,5,0,0,0,1,0,0,0,0,0,0
197298,boardgame,Ballistic Reign,2016,2,2,0,0,0,0,0,0,0,1,0,1,11,0,0,0
161885,boardgame,Rail USA,2014,3,5,40,40,40,12,44,6.81591,5.56507,113,3,6,12,27,7,2.4286
24632,boardgame,Cross'n GO,2006,2,4,30,30,30,0,6,6.83333,0,11,0,0,0,1,2,1.5
29554,boardgame,Mount Everest,1923,2,6,0,0,0,0,0,0,0,1,0,0,2,1,0,0
84462,boardgameexpansion,Power Grid: Warehouse,2010,2,6,120,120,120,12,323,7.16548,5.94808,1597,43,28,90,127,21,3.2381
19726,boardgameexpansion,Coloretto Amazonas: Erweiterung,2005,2,2,10,10,10,8,16,6.48125,0,86,11,15,22,21,1,1
13623,boardgame,Who's in the Bag,2001,4,0,10,10,10,8,34,5.82941,5.50876,54,2,0,1,12,5,1.2
41699,boardgame,Tintenblut,2009,2,4,60,60,60,10,27,6.6437,0,62,7,1,5,12,4,2.5
34960,boardgame,The Garrison Game,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74168,boardgameexpansion,Fallen Shadow,2011,2,2,60,60,60,12,0,0,0,1,0,4,19,0,0,0
18674,boardgame,Kubla's Gambol,2005,2,2,10,10,10,10,6,5,0,19,2,1,1,6,1,2
98660,boardgameexpansion,Anima Tactics: Jerome,2009,2,0,60,60,60,12,0,0,0,6,0,0,0,0,1,3
159368,boardgame,Run Sheepee Run,1939,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211052,boardgameexpansion,Empires: Galactic Rebellion – Oligarchs Expansion,2016,2,6,270,90,270,14,7,7.94286,0,77,2,0,5,6,0,0
39494,boardgame,DracoKrak Chess,2008,2,4,20,20,20,0,0,0,0,0,0,0,1,0,0,0
174551,boardgameexpansion,DC Comics Deck-Building Game: Crossover Pack 3 – Legion of Super-Heroes,2015,2,5,45,30,45,15,125,7.39172,5.70836,631,1,28,59,30,5,2
12073,boardgame,Aggieopoly,1984,2,5,45,45,45,8,10,3.47,0,30,1,0,1,6,3,1.3333
12381,boardgame,Quiz 1000,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
36843,boardgame,Wildfire,2008,2,4,60,60,60,0,2,7.5,0,7,0,0,2,4,0,0
3275,boardgame,Imperator,2002,2,2,480,480,480,12,65,7.47385,5.61748,249,5,7,11,29,16,2.9375
34656,boardgameexpansion,March Madness '97: Tournament Scenario Pack,1997,2,2,0,0,0,0,4,7.25,0,22,2,1,7,3,0,0
36586,boardgame,Pearl Harbor,2002,1,1,10,10,10,0,1,6,0,2,0,0,1,0,0,0
154426,boardgameexpansion,The Lord of the Rings: The Card Game – Nightmare Deck: The Dead Marshes,2013,1,2,60,60,60,13,37,7.65405,5.58547,384,1,22,36,14,1,2
40835,boardgame,Revolutionary War-opoly,2009,2,6,90,90,90,8,0,0,0,0,0,1,1,0,0,0
169899,boardgameexpansion,Demigods Rising: Heroes of Dwarves,2014,2,4,120,120,120,13,0,0,0,7,0,0,0,0,0,0
207293,boardgameexpansion,Evolution: Gigantism Promo,2016,0,0,0,0,0,0,14,7.38929,0,320,2,19,38,13,0,0
29440,boardgame,Thunder Bay On Board,2004,2,6,60,60,60,8,4,4.25,0,3,0,0,0,2,0,0
21370,boardgame,History of War: Africa Edition,2005,2,6,45,45,45,10,23,7.1087,0,59,6,4,7,0,2,3
39867,boardgame,Hot Air Ballooning Game,1983,2,5,30,30,30,0,1,5,0,4,0,2,2,1,0,0
6650,boardgame,Nummerus Zahlus,1995,1,4,10,10,10,7,9,5.66667,0,25,3,0,1,7,1,2
29268,boardgame,Party & Co: Junior,1994,2,4,35,35,35,6,21,5.02381,0,51,1,0,0,9,1,1
131333,boardgame,Old Testament Stories,1990,2,4,30,30,30,4,1,4,0,0,0,0,0,1,1,1
28461,boardgame,Flash Match VCR Jr.,1986,2,4,0,0,0,10,0,0,0,2,0,0,0,0,0,0
155588,boardgameexpansion,HeroClix: The Hobbit – An Unexpected Journey,2012,2,2,60,60,60,14,14,7.25,0,43,2,3,4,5,2,3
21454,boardgame,Crow Hunt,1931,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
212144,boardgame,Kingdom Duel,2016,2,4,120,40,120,10,0,0,0,0,0,0,1,0,0,0
137194,boardgame,Linus the Lionhearted Game,1965,2,4,60,60,60,5,0,0,0,0,0,0,0,0,0,0
5307,boardgame,Among Nations,1994,3,6,30,30,30,0,11,3.72727,0,92,12,0,1,18,3,2
122649,boardgameexpansion,Trivial Pursuit: Familien Kartensatz,2000,2,36,90,90,90,12,2,4.5,0,3,0,0,2,0,0,0
85470,boardgame,Zed Run!: The Survival Horror Game Show,2010,1,4,60,60,60,10,1,1,0,5,0,1,6,2,0,0
190755,boardgame,Fahrt ins Muhltal,1900,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0
184563,boardgameexpansion,Lock 'n Load Tactical: Heroes of the Motherland,2015,2,2,480,120,480,12,10,8.4,0,46,0,8,12,1,2,3.5
104281,boardgame,Brain Quest SMART game,2011,2,4,0,0,0,6,8,6.35213,0,25,1,0,0,3,1,1
28862,boardgame,Cashword,1986,3,6,30,30,30,9,1,6,0,4,0,1,1,0,0,0
1949,boardgame,Okänd planet,0,2,6,60,60,60,9,20,4.3,0,35,1,0,1,6,2,2.5
9779,boardgame,Name That State,1988,2,2,45,45,45,6,7,4.07143,0,21,1,0,0,5,0,0
